country_id,country,last_update
1,Afghanistan,2006-02-15 04:44:00.0
2,Algeria,2006-02-15 04:44:00.0
3,American Samoa,2006-02-15 04:44:00.0
4,Angola,2006-02-15 04:44:00.0
5,Anguilla,2006-02-15 04:44:00.0
6,Argentina,2006-02-15 04:44:00.0
7,Armenia,2006-02-15 04:44:00.0
8,Australia,2006-02-15 04:44:00.0
9,Austria,2006-02-15 04:44:00.0
10,Azerbaijan,2006-02-15 04:44:00.0
11,Bahrain,2006-02-15 04:44:00.0
12,Bangladesh,2006-02-15 04:44:00.0
13,Belarus,2006-02-15 04:44:00.0
14,Bolivia,2006-02-15 04:44:00.0
15,Brazil,2006-02-15 04:44:00.0
16,Brunei,2006-02-15 04:44:00.0
17,Bulgaria,2006-02-15 04:44:00.0
18,Cambodia,2006-02-15 04:44:00.0
19,Cameroon,2006-02-15 04:44:00.0
20,Canada,2006-02-15 04:44:00.0
21,Chad,2006-02-15 04:44:00.0
22,Chile,2006-02-15 04:44:00.0
23,China,2006-02-15 04:44:00.0
24,Colombia,2006-02-15 04:44:00.0
25,Congo, The Democratic Republic of the,2006-02-15 04:44:00.0
26,Czech Republic,2006-02-15 04:44:00.0
27,Dominican Republic,2006-02-15 04:44:00.0
28,Ecuador,2006-02-15 04:44:00.0
29,Egypt,2006-02-15 04:44:00.0
30,Estonia,2006-02-15 04:44:00.0
31,Ethiopia,2006-02-15 04:44:00.0
32,Faroe Islands,2006-02-15 04:44:00.0
33,Finland,2006-02-15 04:44:00.0
34,France,2006-02-15 04:44:00.0
35,French Guiana,2006-02-15 04:44:00.0
36,French Polynesia,2006-02-15 04:44:00.0
37,Gambia,2006-02-15 04:44:00.0
38,Germany,2006-02-15 04:44:00.0
39,Greece,2006-02-15 04:44:00.0
40,Greenland,2006-02-15 04:44:00.0
41,Holy See (Vatican City State),2006-02-15 04:44:00.0
42,Hong Kong,2006-02-15 04:44:00.0
43,Hungary,2006-02-15 04:44:00.0
44,India,2006-02-15 04:44:00.0
45,Indonesia,2006-02-15 04:44:00.0
46,Iran,2006-02-15 04:44:00.0
47,Iraq,2006-02-15 04:44:00.0
48,Israel,2006-02-15 04:44:00.0
49,Italy,2006-02-15 04:44:00.0
50,Japan,2006-02-15 04:44:00.0
51,Kazakstan,2006-02-15 04:44:00.0
52,Kenya,2006-02-15 04:44:00.0
53,Kuwait,2006-02-15 04:44:00.0
54,Latvia,2006-02-15 04:44:00.0
55,Liechtenstein,2006-02-15 04:44:00.0
56,Lithuania,2006-02-15 04:44:00.0
57,Madagascar,2006-02-15 04:44:00.0
58,Malawi,2006-02-15 04:44:00.0
59,Malaysia,2006-02-15 04:44:00.0
60,Mexico,2006-02-15 04:44:00.0
61,Moldova,2006-02-15 04:44:00.0
62,Morocco,2006-02-15 04:44:00.0
63,Mozambique,2006-02-15 04:44:00.0
64,Myanmar,2006-02-15 04:44:00.0
65,Nauru,2006-02-15 04:44:00.0
66,Nepal,2006-02-15 04:44:00.0
67,Netherlands,2006-02-15 04:44:00.0
68,New Zealand,2006-02-15 04:44:00.0
69,Nigeria,2006-02-15 04:44:00.0
70,North Korea,2006-02-15 04:44:00.0
71,Oman,2006-02-15 04:44:00.0
72,Pakistan,2006-02-15 04:44:00.0
73,Paraguay,2006-02-15 04:44:00.0
74,Peru,2006-02-15 04:44:00.0
75,Philippines,2006-02-15 04:44:00.0
76,Poland,2006-02-15 04:44:00.0
77,Puerto Rico,2006-02-15 04:44:00.0
78,Romania,2006-02-15 04:44:00.0
79,Runion,2006-02-15 04:44:00.0
80,Russian Federation,2006-02-15 04:44:00.0
81,Saint Vincent and the Grenadines,2006-02-15 04:44:00.0
82,Saudi Arabia,2006-02-15 04:44:00.0
83,Senegal,2006-02-15 04:44:00.0
84,Slovakia,2006-02-15 04:44:00.0
85,South Africa,2006-02-15 04:44:00.0
86,South Korea,2006-02-15 04:44:00.0
87,Spain,2006-02-15 04:44:00.0
88,Sri Lanka,2006-02-15 04:44:00.0
89,Sudan,2006-02-15 04:44:00.0
90,Sweden,2006-02-15 04:44:00.0
91,Switzerland,2006-02-15 04:44:00.0
92,Taiwan,2006-02-15 04:44:00.0
93,Tanzania,2006-02-15 04:44:00.0
94,Thailand,2006-02-15 04:44:00.0
95,Tonga,2006-02-15 04:44:00.0
96,Tunisia,2006-02-15 04:44:00.0
97,Turkey,2006-02-15 04:44:00.0
98,Turkmenistan,2006-02-15 04:44:00.0
99,Tuvalu,2006-02-15 04:44:00.0
100,Ukraine,2006-02-15 04:44:00.0
101,United Arab Emirates,2006-02-15 04:44:00.0
102,United Kingdom,2006-02-15 04:44:00.0
103,United States,2006-02-15 04:44:00.0
104,Venezuela,2006-02-15 04:44:00.0
105,Vietnam,2006-02-15 04:44:00.0
106,Virgin Islands, U.S.,2006-02-15 04:44:00.0
107,Yemen,2006-02-15 04:44:00.0
108,Yugoslavia,2006-02-15 04:44:00.0
109,Zambia,2006-02-15 04:44:00.0
